"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
//Version 2.53.1//
//Weapons//
"infantry_camouflage";"Soldiers camouflage";"Soldiers camouflage";"Soldiers camouflage";"Soldiers camouflage";"Soldiers camouflage";"Soldiers camouflage";"Soldiers camouflage";"Soldiers camouflage";"Soldiers camouflage";"Soldiers camouflage";"Soldiers camouflage";"Soldiers camouflage";"Soldiers camouflage";"Soldiers camouflage";"Soldiers camouflage";"Soldiers camouflage";"Soldiers camouflage";"Soldiers camouflage";"Soldiers camouflage";"Soldiers camouflage";"Soldiers camouflage";;
//US//
"colt_9_mm_smg_shop";"R0635";"R0635";"R0635";"R0635";"R0635";"R0635";"R0635";"R0635";"R0635";"R0635";"R0635";"R0635";"R0635";"R0635";"R0635";"R0635";"R0635";"R0635";"R0635";"R0635";"R0635";;
"colt_9_mm_smg_0";"Submachine Gun, Caliber 9x19mm, R0635";"Submachine Gun, Caliber 9x19mm, R0635";"Submachine Gun, Caliber 9x19mm, R0635";"Submachine Gun, Caliber 9x19mm, R0635";"Submachine Gun, Caliber 9x19mm, R0635";"Submachine Gun, Caliber 9x19mm, R0635";"Submachine Gun, Caliber 9x19mm, R0635";"Submachine Gun, Caliber 9x19mm, R0635";"Submachine Gun, Caliber 9x19mm, R0635";"Submachine Gun, Caliber 9x19mm, R0635";"Submachine Gun, Caliber 9x19mm, R0635";"Submachine Gun, Caliber 9x19mm, R0635";"Submachine Gun, Caliber 9x19mm, R0635";"Submachine Gun, Caliber 9x19mm, R0635";"Submachine Gun, Caliber 9x19mm, R0635";"Submachine Gun, Caliber 9x19mm, R0635";"Submachine Gun, Caliber 9x19mm, R0635";"Submachine Gun, Caliber 9x19mm, R0635";"Submachine Gun, Caliber 9x19mm, R0635";"Submachine Gun, Caliber 9x19mm, R0635";"Submachine Gun, Caliber 9x19mm, R0635";;
"colt_9_mm_smg_1";"R0635";"R0635";"R0635";"R0635";"R0635";"R0635";"R0635";"R0635";"R0635";"R0635";"R0635";"R0635";"R0635";"R0635";"R0635";"R0635";"R0635";"R0635";"R0635";"R0635";"R0635";;
"colt_9_mm_smg_2";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";;
"m110a1_sdmr_shop";"M110A1 SDMR";"M110A1 SDMR";"M110A1 SDMR";"M110A1 SDMR";"M110A1 SDMR";"M110A1 SDMR";"M110A1 SDMR";"M110A1 SDMR";"M110A1 SDMR";"M110A1 SDMR";"M110A1 SDMR";"M110A1 SDMR";"M110A1 SDMR";"M110A1 SDMR";"M110A1 SDMR";"M110A1 SDMR";"M110A1 SDMR";"M110A1 SDMR";"M110A1 SDMR";"M110A1 SDMR";"M110A1 SDMR";;
"m110a1_sdmr_0";"Rifle, Caliber 7.62x51mm, M110A1 Squad Designated Marksman Rifle";"Rifle, Caliber 7.62x51mm, M110A1 Squad Designated Marksman Rifle";"Rifle, Caliber 7.62x51mm, M110A1 Squad Designated Marksman Rifle";"Rifle, Caliber 7.62x51mm, M110A1 Squad Designated Marksman Rifle";"Rifle, Caliber 7.62x51mm, M110A1 Squad Designated Marksman Rifle";"Rifle, Caliber 7.62x51mm, M110A1 Squad Designated Marksman Rifle";"Rifle, Caliber 7.62x51mm, M110A1 Squad Designated Marksman Rifle";"Rifle, Caliber 7.62x51mm, M110A1 Squad Designated Marksman Rifle";"Rifle, Caliber 7.62x51mm, M110A1 Squad Designated Marksman Rifle";"Rifle, Caliber 7.62x51mm, M110A1 Squad Designated Marksman Rifle";"Rifle, Caliber 7.62x51mm, M110A1 Squad Designated Marksman Rifle";"Rifle, Caliber 7.62x51mm, M110A1 Squad Designated Marksman Rifle";"Rifle, Caliber 7.62x51mm, M110A1 Squad Designated Marksman Rifle";"Rifle, Caliber 7.62x51mm, M110A1 Squad Designated Marksman Rifle";"Rifle, Caliber 7.62x51mm, M110A1 Squad Designated Marksman Rifle";"Rifle, Caliber 7.62x51mm, M110A1 Squad Designated Marksman Rifle";"Rifle, Caliber 7.62x51mm, M110A1 Squad Designated Marksman Rifle";"Rifle, Caliber 7.62x51mm, M110A1 Squad Designated Marksman Rifle";"Rifle, Caliber 7.62x51mm, M110A1 Squad Designated Marksman Rifle";"Rifle, Caliber 7.62x51mm, M110A1 Squad Designated Marksman Rifle";"Rifle, Caliber 7.62x51mm, M110A1 Squad Designated Marksman Rifle";;
"m110a1_sdmr_1";"M110A1 SDMR";"M110A1 SDMR";"M110A1 SDMR";"M110A1 SDMR";"M110A1 SDMR";"M110A1 SDMR";"M110A1 SDMR";"M110A1 SDMR";"M110A1 SDMR";"M110A1 SDMR";"M110A1 SDMR";"M110A1 SDMR";"M110A1 SDMR";"M110A1 SDMR";"M110A1 SDMR";"M110A1 SDMR";"M110A1 SDMR";"M110A1 SDMR";"M110A1 SDMR";"M110A1 SDMR";"M110A1 SDMR";;
"m110a1_sdmr_2";"Designated Marksman Rifle";"Designated Marksman Rifle";"Designated Marksman Rifle";"Designated Marksman Rifle";"Designated Marksman Rifle";"Designated Marksman Rifle";"Designated Marksman Rifle";"Designated Marksman Rifle";"Designated Marksman Rifle";"Designated Marksman Rifle";"Designated Marksman Rifle";"Designated Marksman Rifle";"Designated Marksman Rifle";"Designated Marksman Rifle";"Designated Marksman Rifle";"Designated Marksman Rifle";"Designated Marksman Rifle";"Designated Marksman Rifle";"Designated Marksman Rifle";"Designated Marksman Rifle";"Designated Marksman Rifle";;
"m16a1_shop";"M16A1";"M16A1";"M16A1";"M16A1";"M16A1";"M16A1";"M16A1";"M16A1";"M16A1";"M16A1";"M16A1";"M16A1";"M16A1";"M16A1";"M16A1";"M16A1";"M16A1";"M16A1";"M16A1";"M16A1";"M16A1";;
"m16a1_0";"Rifle, Caliber 5.56x45mm, M16A1";"Rifle, Caliber 5.56x45mm, M16A1";"Rifle, Caliber 5.56x45mm, M16A1";"Rifle, Caliber 5.56x45mm, M16A1";"Rifle, Caliber 5.56x45mm, M16A1";"Rifle, Caliber 5.56x45mm, M16A1";"Rifle, Caliber 5.56x45mm, M16A1";"Rifle, Caliber 5.56x45mm, M16A1";"Rifle, Caliber 5.56x45mm, M16A1";"Rifle, Caliber 5.56x45mm, M16A1";"Rifle, Caliber 5.56x45mm, M16A1";"Rifle, Caliber 5.56x45mm, M16A1";"Rifle, Caliber 5.56x45mm, M16A1";"Rifle, Caliber 5.56x45mm, M16A1";"Rifle, Caliber 5.56x45mm, M16A1";"Rifle, Caliber 5.56x45mm, M16A1";"Rifle, Caliber 5.56x45mm, M16A1";"Rifle, Caliber 5.56x45mm, M16A1";"Rifle, Caliber 5.56x45mm, M16A1";"Rifle, Caliber 5.56x45mm, M16A1";"Rifle, Caliber 5.56x45mm, M16A1";;
"m16a1_1";"M16A1";"M16A1";"M16A1";"M16A1";"M16A1";"M16A1";"M16A1";"M16A1";"M16A1";"M16A1";"M16A1";"M16A1";"M16A1";"M16A1";"M16A1";"M16A1";"M16A1";"M16A1";"M16A1";"M16A1";"M16A1";;
"m16a1_2";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";;
"m16a4_shop";"M16A4";"M16A4";"M16A4";"M16A4";"M16A4";"M16A4";"M16A4";"M16A4";"M16A4";"M16A4";"M16A4";"M16A4";"M16A4";"M16A4";"M16A4";"M16A4";"M16A4";"M16A4";"M16A4";"M16A4";"M16A4";;
