"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>";
//Version 2.51.1//
"country_australia";"Australia";"Australie";"Commonwealth of Australia";"Australien";"Commonwealth of Australia";"Австралия";"Commonwealth of Australia";"Austrálie";"Avustralya";"澳\t大\t利\t亚";"オーストラリア";"Austrália";"Австралія";"Australija";"Ausztrália";"호주";"Аўстралія";"Commonwealth of Australia";"澳\t大\t利\t亞";"澳";"Úc";;
"country_austria";"Austria";"Autriche";"Republic of Austria";"Österreich";"Republic of Austria";"Австрия";"Republic of Austria";"Rakousko";"Avusturya";"奥\t地\t利";"オーストリア";"Áustria";"Австрія";"Austrija";"Ausztria";"오스트리아";"Аўстрыя";"Republic of Austria";"奧\t地\t利";"Republic of Austria";"Áo";;
"country_italy";"Italian Republic";"Italie";"Italia";"Italien";"Italia";"Италия";"Włochy";"Itálie";"İtalya";"意\t大\t利";"イタリア";"Itália";"Італія";"Italija";"Olaszország";"이탈리아";"Італія";"Italia";"義\t大\t利";"I\t系";"Ý";;
"country_belgium";"Belgium";"Belgique";"Belgio";"Belgien";"Bélgica";"Бельгия";"Belgia";"Belgie";"Belçika";"比\t利\t时";"ベルギー";"Bélgica";"Бельгія";"Belgija";"Kingdom of Belgium";"벨기에";"Бельгія";"Belgia";"比\t利\t時";"比\t利\t时";"Bỉ";;
"country_bulgaria";"Bulgaria";"Bulgarie";"Republic of Bulgaria";"Bulgarien";"Republic of Bulgaria";"Болгария";"Bułgaria";"Bulharsko";"Bulgaristan";"保\t加\t利\t亚";"ブルガリア";"Bulgária";"Болгарія";"Bugarska";"Bulgária";"불가리아";"Балгарыя";"Republic of Bulgaria";"保\t加\t利\t亞";"保";"Republic of Bulgaria";;
"country_brazil";"Brazil";"Brésil";"Brasile";"Brasilien";"Brasil";"Бразилия";"Brazylia";"Brazílie";"Brezilya";"巴\t西";"ブラジル";"Brasil";"Бразилія";"Federative Republic of Brazil";"Federative Republic of Brazil";"브라질";"Бразілія";"Federative Republic of Brazil";"巴\t西";"Federative Republic of Brazil";"Federative Republic of Brazil";;
"country_canada";"Canada";"Dominion of Canada";"Dominion of Canada";"Kanada";"Canadá";"Канада";"Kanada";"Kanada";"Kanada";"加\t拿\t大";"カナダ";"Canadá";"Канада";"Kanada";"Kanada";"캐나다";"Канада";"Dominion of Canada";"加\t拿\t大";"加\t拿\t大";"Dominion of Canada";;
"country_finland";"Finland";"Republic of Finlande";"Republic of Finlandia";"Finnland";"Republic of Finlandia";"Финляндия";"Republic of Finlandia";"Finsko";"Republic of Finlandiya";"芬\t兰";"フィンランド";"Finlândia";"Фінляндія";"Finska";"Finnország";"핀란드";"Фінляндыя";"Republic of Finlanda";"芬\t蘭";"芬\t兰";"Phần Lan";;
"country_france";"France";"France";"Francia";"Frankreich";"Francia";"Франция";"Francja";"Francie";"Fransa";"法\t国";"フランス";"França";"Франція";"Francuska";"Franciaország";"프랑스";"Францыя";"Franța";"法\t國";"F\t系";"Pháp";;
