"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
//Reworked//
"___p6";"sample";"sample";"sample";"sample";"sample";"sample";"sample";"sample";"sample";"sample";"sample";"sample";"sample";"sample";"sample";"sample";"sample";"sample";"sample";"sample";;
"bf-109k-4/esports_ready_2020";"<color=#CCA43B><TD> eSports Ready camouflage</color>";"<color=#CCA43B><TD> eSports Ready camouflage</color>";"<color=#CCA43B><TD> eSports Ready camouflage</color>";"<color=#CCA43B><TD> eSports Ready camouflage</color>";"<color=#CCA43B><TD> eSports Ready camouflage</color>";"<color=#CCA43B><TD> eSports Ready camouflage</color>";"<color=#CCA43B><TD> eSports Ready camouflage</color>";"<color=#CCA43B><TD> eSports Ready camouflage</color>";"<color=#CCA43B><TD> eSports Ready camouflage</color>";"<color=#CCA43B><TD> eSports Ready camouflage</color>";"<color=#CCA43B><TD> eSports Ready camouflage</color>";"<color=#CCA43B><TD> eSports Ready camouflage</color>";"<color=#CCA43B><TD> eSports Ready camouflage</color>";"<color=#CCA43B><TD> eSports Ready camouflage</color>";"<color=#CCA43B><TD> eSports Ready camouflage</color>";"<color=#CCA43B><TD> eSports Ready camouflage</color>";"<color=#CCA43B><TD> eSports Ready camouflage</color>";"<color=#CCA43B><TD> eSports Ready camouflage</color>";"<color=#CCA43B><TD> eSports Ready camouflage</color>";"<color=#CCA43B><TD> eSports Ready camouflage</color>";;
"bf-109k-4/esports_ready_2020";"<Twitch Drop> Special eSports Ready Tournament camouflage";"<Twitch Drop> Special eSports Ready Tournament camouflage";"<Twitch Drop> Special eSports Ready Tournament camouflage";"<Twitch Drop> Special eSports Ready Tournament camouflage";"<Twitch Drop> Special eSports Ready Tournament camouflage";"<Twitch Drop> Special eSports Ready Tournament camouflage";"<Twitch Drop> Special eSports Ready Tournament camouflage";"<Twitch Drop> Special eSports Ready Tournament camouflage";"<Twitch Drop> Special eSports Ready Tournament camouflage";"<Twitch Drop> Special eSports Ready Tournament camouflage";"<Twitch Drop> Special eSports Ready Tournament camouflage";"<Twitch Drop> Special eSports Ready Tournament camouflage";"<Twitch Drop> Special eSports Ready Tournament camouflage";"<Twitch Drop> Special eSports Ready Tournament camouflage";"<Twitch Drop> Special eSports Ready Tournament camouflage";"<Twitch Drop> Special eSports Ready Tournament camouflage";"<Twitch Drop> Special eSports Ready Tournament camouflage";"<Twitch Drop> Special eSports Ready Tournament camouflage";"<Twitch Drop> Special eSports Ready Tournament camouflage";"<Twitch Drop> Special eSports Ready Tournament camouflage";;
"ussr_t_44_100/esports_ready_2020";"<color=#CCA43B><TD> eSports Ready camouflage</color>";"<color=#CCA43B><TD> eSports Ready camouflage</color>";"<color=#CCA43B><TD> eSports Ready camouflage</color>";"<color=#CCA43B><TD> eSports Ready camouflage</color>";"<color=#CCA43B><TD> eSports Ready camouflage</color>";"<color=#CCA43B><TD> eSports Ready camouflage</color>";"<color=#CCA43B><TD> eSports Ready camouflage</color>";"<color=#CCA43B><TD> eSports Ready camouflage</color>";"<color=#CCA43B><TD> eSports Ready camouflage</color>";"<color=#CCA43B><TD> eSports Ready camouflage</color>";"<color=#CCA43B><TD> eSports Ready camouflage</color>";"<color=#CCA43B><TD> eSports Ready camouflage</color>";"<color=#CCA43B><TD> eSports Ready camouflage</color>";"<color=#CCA43B><TD> eSports Ready camouflage</color>";"<color=#CCA43B><TD> eSports Ready camouflage</color>";"<color=#CCA43B><TD> eSports Ready camouflage</color>";"<color=#CCA43B><TD> eSports Ready camouflage</color>";"<color=#CCA43B><TD> eSports Ready camouflage</color>";"<color=#CCA43B><TD> eSports Ready camouflage</color>";"<color=#CCA43B><TD> eSports Ready camouflage</color>";;
"ussr_t_44_100/esports_ready_2020";"<Twitch Drop> Special eSports Ready Tournament camouflage";"<Twitch Drop> Special eSports Ready Tournament camouflage";"<Twitch Drop> Special eSports Ready Tournament camouflage";"<Twitch Drop> Special eSports Ready Tournament camouflage";"<Twitch Drop> Special eSports Ready Tournament camouflage";"<Twitch Drop> Special eSports Ready Tournament camouflage";"<Twitch Drop> Special eSports Ready Tournament camouflage";"<Twitch Drop> Special eSports Ready Tournament camouflage";"<Twitch Drop> Special eSports Ready Tournament camouflage";"<Twitch Drop> Special eSports Ready Tournament camouflage";"<Twitch Drop> Special eSports Ready Tournament camouflage";"<Twitch Drop> Special eSports Ready Tournament camouflage";"<Twitch Drop> Special eSports Ready Tournament camouflage";"<Twitch Drop> Special eSports Ready Tournament camouflage";"<Twitch Drop> Special eSports Ready Tournament camouflage";"<Twitch Drop> Special eSports Ready Tournament camouflage";"<Twitch Drop> Special eSports Ready Tournament camouflage";"<Twitch Drop> Special eSports Ready Tournament camouflage";"<Twitch Drop> Special eSports Ready Tournament camouflage";"<Twitch Drop> Special eSports Ready Tournament camouflage";;
"jp_type_90/winter_stripes";"Winter camouflage (Tape)";"Winter camouflage (Tape)";"Winter camouflage (Tape)";"Winter camouflage (Tape)";"Winter camouflage (Tape)";"Winter camouflage (Tape)";"Winter camouflage (Tape)";"Winter camouflage (Tape)";"Winter camouflage (Tape)";"Winter camouflage (Tape)";"Winter camouflage (Tape)";"Winter camouflage (Tape)";"Winter camouflage (Tape)";"Winter camouflage (Tape)";"Winter camouflage (Tape)";"Winter camouflage (Tape)";"Winter camouflage (Tape)";"Winter camouflage (Tape)";"Winter camouflage (Tape)";"Winter camouflage (Tape)";;
"jp_type_90/winter_stripes/desc";"Non-Standard Rikujō Jieitai Bicolor Winter camouflage (Tape). \nFor this camouflage, scaling, rotation, and editing of the condition have been disabled.";"Non-Standard Rikujō Jieitai Bicolor Winter camouflage (Tape). \nFor this camouflage, scaling, rotation, and editing of the condition have been disabled.";"Non-Standard Rikujō Jieitai Bicolor Winter camouflage (Tape). \nFor this camouflage, scaling, rotation, and editing of the condition have been disabled.";"Non-Standard Rikujō Jieitai Bicolor Winter camouflage (Tape). \nFor this camouflage, scaling, rotation, and editing of the condition have been disabled.";"Non-Standard Rikujō Jieitai Bicolor Winter camouflage (Tape). \nFor this camouflage, scaling, rotation, and editing of the condition have been disabled.";"Non-Standard Rikujō Jieitai Bicolor Winter camouflage (Tape). \nFor this camouflage, scaling, rotation, and editing of the condition have been disabled.";"Non-Standard Rikujō Jieitai Bicolor Winter camouflage (Tape). \nFor this camouflage, scaling, rotation, and editing of the condition have been disabled.";"Non-Standard Rikujō Jieitai Bicolor Winter camouflage (Tape). \nFor this camouflage, scaling, rotation, and editing of the condition have been disabled.";"Non-Standard Rikujō Jieitai Bicolor Winter camouflage (Tape). \nFor this camouflage, scaling, rotation, and editing of the condition have been disabled.";"Non-Standard Rikujō Jieitai Bicolor Winter camouflage (Tape). \nFor this camouflage, scaling, rotation, and editing of the condition have been disabled.";"Non-Standard Rikujō Jieitai Bicolor Winter camouflage (Tape). \nFor this camouflage, scaling, rotation, and editing of the condition have been disabled.";"Non-Standard Rikujō Jieitai Bicolor Winter camouflage (Tape). \nFor this camouflage, scaling, rotation, and editing of the condition have been disabled.";"Non-Standard Rikujō Jieitai Bicolor Winter camouflage (Tape). \nFor this camouflage, scaling, rotation, and editing of the condition have been disabled.";"Non-Standard Rikujō Jieitai Bicolor Winter camouflage (Tape). \nFor this camouflage, scaling, rotation, and editing of the condition have been disabled.";"Non-Standard Rikujō Jieitai Bicolor Winter camouflage (Tape). \nFor this camouflage, scaling, rotation, and editing of the condition have been disabled.";"Non-Standard Rikujō Jieitai Bicolor Winter camouflage (Tape). \nFor this camouflage, scaling, rotation, and editing of the condition have been disabled.";"Non-Standard Rikujō Jieitai Bicolor Winter camouflage (Tape). \nFor this camouflage, scaling, rotation, and editing of the condition have been disabled.";"Non-Standard Rikujō Jieitai Bicolor Winter camouflage (Tape). \nFor this camouflage, scaling, rotation, and editing of the condition have been disabled.";"Non-Standard Rikujō Jieitai Bicolor Winter camouflage (Tape). \nFor this camouflage, scaling, rotation, and editing of the condition have been disabled.";"Non-Standard Rikujō Jieitai Bicolor Winter camouflage (Tape). \nFor this camouflage, scaling, rotation, and editing of the condition have been disabled.";;
"ussr_su_85a/green_ltbrown_lines";"Summer camouflage";"Summer camouflage";"Summer camouflage";"Summer camouflage";"Summer camouflage";"Summer camouflage";"Summer camouflage";"Summer camouflage";"Summer camouflage";"Summer camouflage";"Summer camouflage";"Summer camouflage";"Summer camouflage";"Summer camouflage";"Summer camouflage";"Summer camouflage";"Summer camouflage";"Summer camouflage";"Summer camouflage";"Summer camouflage";;
"ussr_su_85a/green_ltbrown_lines/desc";"Non-Standard Soviet Army Bicolor Summer camouflage";"Non-Standard Soviet Army Bicolor Summer camouflage";"Non-Standard Soviet Army Bicolor Summer camouflage";"Non-Standard Soviet Army Bicolor Summer camouflage";"Non-Standard Soviet Army Bicolor Summer camouflage";"Non-Standard Soviet Army Bicolor Summer camouflage";"Non-Standard Soviet Army Bicolor Summer camouflage";"Non-Standard Soviet Army Bicolor Summer camouflage";"Non-Standard Soviet Army Bicolor Summer camouflage";"Non-Standard Soviet Army Bicolor Summer camouflage";"Non-Standard Soviet Army Bicolor Summer camouflage";"Non-Standard Soviet Army Bicolor Summer camouflage";"Non-Standard Soviet Army Bicolor Summer camouflage";"Non-Standard Soviet Army Bicolor Summer camouflage";"Non-Standard Soviet Army Bicolor Summer camouflage";"Non-Standard Soviet Army Bicolor Summer camouflage";"Non-Standard Soviet Army Bicolor Summer camouflage";"Non-Standard Soviet Army Bicolor Summer camouflage";"Non-Standard Soviet Army Bicolor Summer camouflage";"Non-Standard Soviet Army Bicolor Summer camouflage";;
