"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"title/enlisted";"Enlisted";"Enrôlé";"Arruolato";"Enlisted";"Enlistado";"Enlisted";"Enlisted";"Enlisted";"Kayıtlı";"应\t征\t入\t伍";"Enlisted";"Enlisted";"Enlisted";"Upisan";"Besorozott";"사병";"Enlisted";"Enlisted";"應\t徵\t入\t伍";"Enlisted";"Binh sĩ";;
"title_enlisted/desc";"<color=#CCA43B>Awarded for:</color> Obtaining a ""Enlisted "" CBT pack";"<color=#CCA43B>Awarded for:</color> Obtaining a ""Enlisted "" CBT pack";"<color=#CCA43B>Awarded for:</color> Obtaining a ""Enlisted "" CBT pack";"<color=#CCA43B>Awarded for:</color> Obtaining a ""Enlisted "" CBT pack";"<color=#CCA43B>Awarded for:</color> Obtaining a ""Enlisted "" CBT pack";"<color=#CCA43B>Awarded for:</color> Obtaining a ""Enlisted "" CBT pack";"<color=#CCA43B>Awarded for:</color> Obtaining a ""Enlisted "" CBT pack";"<color=#CCA43B>Awarded for:</color> Obtaining a ""Enlisted "" CBT pack";"<color=#CCA43B>Awarded for:</color> Obtaining a ""Enlisted "" CBT pack";"<color=#CCA43B>Awarded for:</color> Obtaining a ""Enlisted "" CBT pack";"<color=#CCA43B>Awarded for:</color> Obtaining a ""Enlisted "" CBT pack";"<color=#CCA43B>Awarded for:</color> Obtaining a ""Enlisted "" CBT pack";"<color=#CCA43B>Awarded for:</color> Obtaining a ""Enlisted "" CBT pack";"<color=#CCA43B>Awarded for:</color> Obtaining a ""Enlisted "" CBT pack";"<color=#CCA43B>Awarded for:</color> Obtaining a ""Enlisted "" CBT pack";"<color=#CCA43B>Awarded for:</color> Obtaining a ""Enlisted "" CBT pack";"<color=#CCA43B>Awarded for:</color> Obtaining a ""Enlisted "" CBT pack";"<color=#CCA43B>Awarded for:</color> Obtaining a ""Enlisted "" CBT pack";"<color=#CCA43B>Awarded for:</color> Obtaining a ""Enlisted "" CBT pack";"<color=#CCA43B>Awarded for:</color> Obtaining a ""Enlisted "" CBT pack";"<color=#CCA43B>Awarded for:</color> Obtaining a ""Enlisted "" CBT pack";;
"title/esport_fan_avres";"AVReS Team Fan";"Fan de l'équipe AVReS";"Fan Team AVReS";"AVReS Team Fan";"Fan del Equipo AVReS";"Фанат AVReS Team";"Fan AVReS Team";"Fanoušek týmu AVReS";"AVReS Takımı Hayranı";"AVReS 战\t队\t粉\t丝";"AVReS Team Fan";"AVReS Team Fan";"Фан команди «AVReS»";"AVReS Team Fan";"AVReS Team Fan";"AVReS Team 팬";"Фанат AVReS Team";"AVReS Team Fan";"AVReS Team Fan";"AVReS Team Fan";"Fan Đội AVReS";;
"title_esport_fan_avres/desc";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team AVReS pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team AVReS pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team AVReS pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team AVReS pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team AVReS pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team AVReS pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team AVReS pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team AVReS pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team AVReS pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team AVReS pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team AVReS pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team AVReS pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team AVReS pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team AVReS pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team AVReS pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team AVReS pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team AVReS pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team AVReS pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team AVReS pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team AVReS pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team AVReS pack";;
"title/esport_fan_boisinhell";"BoisInHell Team Fan";"Fan de l'équipe BoisInHell";"Fan Team BoisInHell";"BoisInHell Team Fan";"Fan del Equipo BoisInHell";"Фанат BoisInHell Team";"Fan BoisInHell Team";"Fanoušek týmu BoisInHell";"BoisInHell Takımı Hayranı";"BoisInHell 战\t队\t粉\t丝";"BoisInHell Team Fan";"BoisInHell Team Fan";"Фан команди «BoisInHell»";"BoisInHell Team Fan";"BoisInHell Team Fan";"BoisInHell Team 팬";"Фанат BoisInHell Team";"BoisInHell Team Fan";"BoisInHell Team Fan";"BoisInHell Team Fan";"Fan Đội BoisInHell";;
"title_esport_fan_boisinhell/desc";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team BoisInHell pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team BoisInHell pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team BoisInHell pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team BoisInHell pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team BoisInHell pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team BoisInHell pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team BoisInHell pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team BoisInHell pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team BoisInHell pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team BoisInHell pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team BoisInHell pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team BoisInHell pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team BoisInHell pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team BoisInHell pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team BoisInHell pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team BoisInHell pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team BoisInHell pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team BoisInHell pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team BoisInHell pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team BoisInHell pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team BoisInHell pack";;
"title/esport_fan_dodec";"DODEC Team Fan";"Fan de l'équipe DODEC";"Fan Team DODEC";"DODEC Team Fan";"Fan del Equipo DODEC";"Фанат DODEC Team";"Fan DODEC Team";"Fanoušek týmu DODEC";"DODEC Takımı Hayranı";"DODEC 战\t队\t粉\t丝";"DODEC Team Fan";"DODEC Team Fan";"Фан команди «DODEC»";"DODEC Team Fan";"DODEC Team Fan";"DODEC Team 팬";"Фанат DODEC Team";"DODEC Team Fan";"DODEC Team Fan";"DODEC Team Fan";"Fan Đội DODEC";;
"title_esport_fan_dodec/desc";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team DODEC pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team DODEC pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team DODEC pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team DODEC pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team DODEC pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team DODEC pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team DODEC pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team DODEC pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team DODEC pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team DODEC pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team DODEC pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team DODEC pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team DODEC pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team DODEC pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team DODEC pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team DODEC pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team DODEC pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team DODEC pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team DODEC pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team DODEC pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team DODEC pack";;
"title/esport_fan_hide";"Hide Team Fan";"Fan de l'équipe Hide";"Fan Team Hide";"Hide Team Fan";"Fan del Equipo Hide";"Фанат Hide Team";"Fan Hide Team";"Fanoušek týmu Hide";"Hide Takımı Hayranı";"Hide 战\t队\t粉\t丝";"Hide Team Fan";"Hide Team Fan";"Фан команди «Hide»";"Hide Team Fan";"Hide Team Fan";"Hide Team 팬";"Фанат Hide Team";"Hide Team Fan";"Hide Team Fan";"Hide Team Fan";"Fan Đội Hide";;
"title_esport_fan_hide/desc";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team Hide pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team Hide pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team Hide pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team Hide pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team Hide pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team Hide pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team Hide pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team Hide pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team Hide pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team Hide pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team Hide pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team Hide pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team Hide pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team Hide pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team Hide pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team Hide pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team Hide pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team Hide pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team Hide pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team Hide pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team Hide pack";;
