"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
//V2.33.3//
"12mm_breda_safat_ap";"12.7mm AP belts";"12.7mm AP belts";"12.7mm AP belts";"12.7mm AP belts";"12.7mm AP belts";"12.7mm AP belts";"12.7mm AP belts";"12.7mm AP belts";"12.7mm AP belts";"12.7mm AP belts";"12.7mm AP belts";"12.7mm AP belts";"12.7mm AP belts";"12.7mm AP belts";"12.7mm AP belts";"12.7mm AP belts";"12.7mm AP belts";"12.7mm AP belts";"12.7mm AP belts";"12.7mm AP belts";"12.7mm AP belts";;
"12mm_breda_safat_ap/name";"12.7mm AP belts";"12.7mm AP belts";"12.7mm AP belts";"12.7mm AP belts";"12.7mm AP belts";"12.7mm AP belts";"12.7mm AP belts";"12.7mm AP belts";"12.7mm AP belts";"12.7mm AP belts";"12.7mm AP belts";"12.7mm AP belts";"12.7mm AP belts";"12.7mm AP belts";"12.7mm AP belts";"12.7mm AP belts";"12.7mm AP belts";"12.7mm AP belts";"12.7mm AP belts";"12.7mm AP belts";"12.7mm AP belts";;
"12mm_breda_safat_he";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";;
"12mm_breda_safat_he/name";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";;
"12mm_breda_safat_incendiary";"12.7mm Incendiary belts";"12.7mm Incendiary belts";"12.7mm Incendiary belts";"12.7mm Incendiary belts";"12.7mm Incendiary belts";"12.7mm Incendiary belts";"12.7mm Incendiary belts";"12.7mm Incendiary belts";"12.7mm Incendiary belts";"12.7mm Incendiary belts";"12.7mm Incendiary belts";"12.7mm Incendiary belts";"12.7mm Incendiary belts";"12.7mm Incendiary belts";"12.7mm Incendiary belts";"12.7mm Incendiary belts";"12.7mm Incendiary belts";"12.7mm Incendiary belts";"12.7mm Incendiary belts";"12.7mm Incendiary belts";"12.7mm Incendiary belts";;
"12mm_breda_safat_incendiary/name";"12.7mm Incendiary belts";"12.7mm Incendiary belts";"12.7mm Incendiary belts";"12.7mm Incendiary belts";"12.7mm Incendiary belts";"12.7mm Incendiary belts";"12.7mm Incendiary belts";"12.7mm Incendiary belts";"12.7mm Incendiary belts";"12.7mm Incendiary belts";"12.7mm Incendiary belts";"12.7mm Incendiary belts";"12.7mm Incendiary belts";"12.7mm Incendiary belts";"12.7mm Incendiary belts";"12.7mm Incendiary belts";"12.7mm Incendiary belts";"12.7mm Incendiary belts";"12.7mm Incendiary belts";"12.7mm Incendiary belts";"12.7mm Incendiary belts";;
"12mm_dshk_navy_ap";"12.7mm APIT belts";"12.7mm APIT belts";"12.7mm APIT belts";"12.7mm APIT belts";"12.7mm APIT belts";"12.7mm APIT belts";"12.7mm APIT belts";"12.7mm APIT belts";"12.7mm APIT belts";"12.7mm APIT belts";"12.7mm APIT belts";"12.7mm APIT belts";"12.7mm APIT belts";"12.7mm APIT belts";"12.7mm APIT belts";"12.7mm APIT belts";"12.7mm APIT belts";"12.7mm APIT belts";"12.7mm APIT belts";"12.7mm APIT belts";"12.7mm APIT belts";;
"12mm_dshk_navy_ap/name";"12.7mm APIT belts";"12.7mm APIT belts";"12.7mm APIT belts";"12.7mm APIT belts";"12.7mm APIT belts";"12.7mm APIT belts";"12.7mm APIT belts";"12.7mm APIT belts";"12.7mm APIT belts";"12.7mm APIT belts";"12.7mm APIT belts";"12.7mm APIT belts";"12.7mm APIT belts";"12.7mm APIT belts";"12.7mm APIT belts";"12.7mm APIT belts";"12.7mm APIT belts";"12.7mm APIT belts";"12.7mm APIT belts";"12.7mm APIT belts";"12.7mm APIT belts";;
"12mm_dshk_navy_he";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";;
"12mm_dshk_navy_he/name";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";"12.7mm HE belts";;
"12mm_usa_M2HB_AP_navy";"12.7mm AP belt";"12.7mm AP belt";"12.7mm AP belt";"12.7mm AP belt";"12.7mm AP belt";"12.7mm AP belt";"12.7mm AP belt";"12.7mm AP belt";"12.7mm AP belt";"12.7mm AP belt";"12.7mm AP belt";"12.7mm AP belt";"12.7mm AP belt";"12.7mm AP belt";"12.7mm AP belt";"12.7mm AP belt";"12.7mm AP belt";"12.7mm AP belt";"12.7mm AP belt";"12.7mm AP belt";"12.7mm AP belt";;
"12mm_usa_M2HB_AP_navy/name";"12.7mm AP belt";"12.7mm AP belt";"12.7mm AP belt";"12.7mm AP belt";"12.7mm AP belt";"12.7mm AP belt";"12.7mm AP belt";"12.7mm AP belt";"12.7mm AP belt";"12.7mm AP belt";"12.7mm AP belt";"12.7mm AP belt";"12.7mm AP belt";"12.7mm AP belt";"12.7mm AP belt";"12.7mm AP belt";"12.7mm AP belt";"12.7mm AP belt";"12.7mm AP belt";"12.7mm AP belt";"12.7mm AP belt";;
"12mm_usa_M2HB_AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";;
"12mm_usa_M2HB_AP/name";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";;
"12mm_usa_M2HB_API_navy";"12.7mm API belt";"12.7mm API belt";"12.7mm API belt";"12.7mm API belt";"12.7mm API belt";"12.7mm API belt";"12.7mm API belt";"12.7mm API belt";"12.7mm API belt";"12.7mm API belt";"12.7mm API belt";"12.7mm API belt";"12.7mm API belt";"12.7mm API belt";"12.7mm API belt";"12.7mm API belt";"12.7mm API belt";"12.7mm API belt";"12.7mm API belt";"12.7mm API belt";"12.7mm API belt";;
"12mm_usa_M2HB_API_navy/name";"12.7mm API belt";"12.7mm API belt";"12.7mm API belt";"12.7mm API belt";"12.7mm API belt";"12.7mm API belt";"12.7mm API belt";"12.7mm API belt";"12.7mm API belt";"12.7mm API belt";"12.7mm API belt";"12.7mm API belt";"12.7mm API belt";"12.7mm API belt";"12.7mm API belt";"12.7mm API belt";"12.7mm API belt";"12.7mm API belt";"12.7mm API belt";"12.7mm API belt";"12.7mm API belt";;
"12mm_usa_M2HB_API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";;
"12mm_usa_M2HB_API/name";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";;
