"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
//Version 2.37.3//
"weapons/37mm_type_94_naval_user_cannon";"Type 94 37mm Cannon";"Type 94 37mm Cannon";"Type 94 37mm Cannon";"Type 94 37mm Cannon";"Type 94 37mm Cannon";"Type 94 37mm Cannon";"Type 94 37mm Cannon";"Type 94 37mm Cannon";"Type 94 37mm Cannon";"Type 94 37mm Cannon";"Type 94 37mm Cannon";"Type 94 37mm Cannon";"Type 94 37mm Cannon";"Type 94 37mm Cannon";"Type 94 37mm Cannon";"Type 94 37mm Cannon";"Type 94 37mm Cannon";"Type 94 37mm Cannon";"Type 94 37mm Cannon";"Type 94 37mm Cannon";;
"weapons/37mm_type_94_user_cannon";"Type 94 37mm Cannon";"Type 94 37mm Cannon";"Type 94 37mm Cannon";"Type 94 37mm Cannon";"Type 94 37mm Cannon";"Type 94 37mm Cannon";"Type 94 37mm Cannon";"Type 94 37mm Cannon";"Type 94 37mm Cannon";"Type 94 37mm Cannon";"Type 94 37mm Cannon";"Type 94 37mm Cannon";"Type 94 37mm Cannon";"Type 94 37mm Cannon";"Type 94 37mm Cannon";"Type 94 37mm Cannon";"Type 94 37mm Cannon";"Type 94 37mm Cannon";"Type 94 37mm Cannon";"Type 94 37mm Cannon";;
"weapons/37mm_Type100_user_cannon";"Type 100 37mm Cannon";"Type 100 37mm Cannon";"Type 100 37mm Cannon";"Type 100 37mm Cannon";"Type 100 37mm Cannon";"Type 100 37mm Cannon";"Type 100 37mm Cannon";"Type 100 37mm Cannon";"Type 100 37mm Cannon";"Type 100 37mm Cannon";"Type 100 37mm Cannon";"Type 100 37mm Cannon";"Type 100 37mm Cannon";"Type 100 37mm Cannon";"Type 100 37mm Cannon";"Type 100 37mm Cannon";"Type 100 37mm Cannon";"Type 100 37mm Cannon";"Type 100 37mm Cannon";"Type 100 37mm Cannon";;
"weapons/37mm_Type1_Chi_Ri_user_cannon";"Type 1 37mm Cannon";"Type 1 37mm Cannon";"Type 1 37mm Cannon";"Type 1 37mm Cannon";"Type 1 37mm Cannon";"Type 1 37mm Cannon";"Type 1 37mm Cannon";"Type 1 37mm Cannon";"Type 1 37mm Cannon";"Type 1 37mm Cannon";"Type 1 37mm Cannon";"Type 1 37mm Cannon";"Type 1 37mm Cannon";"Type 1 37mm Cannon";"Type 1 37mm Cannon";"Type 1 37mm Cannon";"Type 1 37mm Cannon";"Type 1 37mm Cannon";"Type 1 37mm Cannon";"Type 1 37mm Cannon";;
"weapons/37mm_Type1_user_cannon";"Type 1 37mm Cannon";"Type 1 37mm Cannon";"Type 1 37mm Cannon";"Type 1 37mm Cannon";"Type 1 37mm Cannon";"Type 1 37mm Cannon";"Type 1 37mm Cannon";"Type 1 37mm Cannon";"Type 1 37mm Cannon";"Type 1 37mm Cannon";"Type 1 37mm Cannon";"Type 1 37mm Cannon";"Type 1 37mm Cannon";"Type 1 37mm Cannon";"Type 1 37mm Cannon";"Type 1 37mm Cannon";"Type 1 37mm Cannon";"Type 1 37mm Cannon";"Type 1 37mm Cannon";"Type 1 37mm Cannon";;
"weapons/57mm_Type90_user_cannon";"Type 90 57mm Cannon";"Type 90 57mm Cannon";"Type 90 57mm Cannon";"Type 90 57mm Cannon";"Type 90 57mm Cannon";"Type 90 57mm Cannon";"Type 90 57mm Cannon";"Type 90 57mm Cannon";"Type 90 57mm Cannon";"Type 90 57mm Cannon";"Type 90 57mm Cannon";"Type 90 57mm Cannon";"Type 90 57mm Cannon";"Type 90 57mm Cannon";"Type 90 57mm Cannon";"Type 90 57mm Cannon";"Type 90 57mm Cannon";"Type 90 57mm Cannon";"Type 90 57mm Cannon";"Type 90 57mm Cannon";;
"weapons/57mm_Type97_user_cannon";"Type 97 57mm Cannon";"Type 97 57mm Cannon";"Type 97 57mm Cannon";"Type 97 57mm Cannon";"Type 97 57mm Cannon";"Type 97 57mm Cannon";"Type 97 57mm Cannon";"Type 97 57mm Cannon";"Type 97 57mm Cannon";"Type 97 57mm Cannon";"Type 97 57mm Cannon";"Type 97 57mm Cannon";"Type 97 57mm Cannon";"Type 97 57mm Cannon";"Type 97 57mm Cannon";"Type 97 57mm Cannon";"Type 97 57mm Cannon";"Type 97 57mm Cannon";"Type 97 57mm Cannon";"Type 97 57mm Cannon";;
"weapons/75mm_Type90_user_cannon";"Type 90 75mm Cannon";"Type 90 75mm Cannon";"Type 90 75mm Cannon";"Type 90 75mm Cannon";"Type 90 75mm Cannon";"Type 90 75mm Cannon";"Type 90 75mm Cannon";"Type 90 75mm Cannon";"Type 90 75mm Cannon";"Type 90 75mm Cannon";"Type 90 75mm Cannon";"Type 90 75mm Cannon";"Type 90 75mm Cannon";"Type 90 75mm Cannon";"Type 90 75mm Cannon";"Type 90 75mm Cannon";"Type 90 75mm Cannon";"Type 90 75mm Cannon";"Type 90 75mm Cannon";"Type 90 75mm Cannon";;
"weapons/75mm_Type99_user_cannon";"Type 99 75mm Cannon";"Type 99 75mm Cannon";"Type 99 75mm Cannon";"Type 99 75mm Cannon";"Type 99 75mm Cannon";"Type 99 75mm Cannon";"Type 99 75mm Cannon";"Type 99 75mm Cannon";"Type 99 75mm Cannon";"Type 99 75mm Cannon";"Type 99 75mm Cannon";"Type 99 75mm Cannon";"Type 99 75mm Cannon";"Type 99 75mm Cannon";"Type 99 75mm Cannon";"Type 99 75mm Cannon";"Type 99 75mm Cannon";"Type 99 75mm Cannon";"Type 99 75mm Cannon";"Type 99 75mm Cannon";;
